user,group,suffix,site
user_5911,abortion - seeking,0,https://www.youtube.com/
user_5623,abortion - seeking,0,https://www.youtube.com/
user_5924,abortion - seeking,0,https://www.youtube.com/
user_5705,abortion - seeking,0,https://www.youtube.com/
user_18856,addiction - alcohol,0,https://www.youtube.com/
user_18999,addiction - alcohol,0,https://www.youtube.com/
user_18673,addiction - alcohol,0,https://www.youtube.com/
user_18744,addiction - alcohol,0,https://www.youtube.com/
user_19665,addiction - porn/sex,0,https://www.youtube.com/
user_19817,addiction - porn/sex,0,https://www.youtube.com/
user_19577,addiction - porn/sex,0,https://www.youtube.com/
user_19971,addiction - porn/sex,0,https://www.youtube.com/
user_19262,addiction - smoking,0,https://www.youtube.com/
user_19374,addiction - smoking,0,https://www.youtube.com/
user_19348,addiction - smoking,0,https://www.youtube.com/
user_19132,addiction - smoking,0,https://www.youtube.com/
user_15519,age - child,0,https://www.youtube.com/
user_15078,age - child,0,https://www.youtube.com/
user_15428,age - child,0,https://www.youtube.com/
user_15143,age - child,0,https://www.youtube.com/
user_14747,age - senior,0,https://www.youtube.com/
user_14976,age - senior,0,https://www.youtube.com/
user_14999,age - senior,0,https://www.youtube.com/
user_14691,age - senior,0,https://www.youtube.com/
user_24480,baseline II,0,https://www.youtube.com/
user_24200,baseline II,0,https://www.youtube.com/
user_24062,baseline II,0,https://www.youtube.com/
user_24539,baseline II,0,https://www.youtube.com/
user_23325,disability - deaf,0,https://www.youtube.com/
user_23397,disability - deaf,0,https://www.youtube.com/
user_23304,disability - deaf,0,https://www.youtube.com/
user_23439,disability - deaf,0,https://www.youtube.com/
user_22680,disability - physical,0,https://www.youtube.com/
user_22753,disability - physical,0,https://www.youtube.com/
user_22793,disability - physical,0,https://www.youtube.com/
user_22594,disability - physical,0,https://www.youtube.com/
user_18162,extremism - islamic extremist,0,https://www.youtube.com/
user_18319,extremism - islamic extremist,0,https://www.youtube.com/
user_18300,extremism - islamic extremist,0,https://www.youtube.com/
user_18083,extremism - islamic extremist,0,https://www.youtube.com/
user_18009,extremism - white supremacy,0,https://www.youtube.com/
user_17859,extremism - white supremacy,0,https://www.youtube.com/
user_17714,extremism - white supremacy,0,https://www.youtube.com/
user_18017,extremism - white supremacy,0,https://www.youtube.com/
user_21726,family - divorce,0,https://www.youtube.com/
user_22035,family - divorce,0,https://www.youtube.com/
user_21659,family - divorce,0,https://www.youtube.com/
user_21825,family - divorce,0,https://www.youtube.com/
user_22452,family - grief,0,https://www.youtube.com/
user_22368,family - grief,0,https://www.youtube.com/
user_22493,family - grief,0,https://www.youtube.com/
user_22326,family - grief,0,https://www.youtube.com/
user_12480,family - pregnancy,0,https://www.youtube.com/
user_12360,family - pregnancy,0,https://www.youtube.com/
user_12299,family - pregnancy,0,https://www.youtube.com/
user_12320,family - pregnancy,0,https://www.youtube.com/
user_11609,gender - female,0,https://www.youtube.com/
user_11958,gender - female,0,https://www.youtube.com/
user_11799,gender - female,0,https://www.youtube.com/
user_11776,gender - female,0,https://www.youtube.com/
user_11430,gender - male,0,https://www.youtube.com/
user_11466,gender - male,0,https://www.youtube.com/
user_11352,gender - male,0,https://www.youtube.com/
user_11323,gender - male,0,https://www.youtube.com/
user_4120,health - cancer,0,https://www.youtube.com/
user_4544,health - cancer,0,https://www.youtube.com/
user_4403,health - cancer,0,https://www.youtube.com/
user_4337,health - cancer,0,https://www.youtube.com/
user_5250,health - diabetes,0,https://www.youtube.com/
user_5394,health - diabetes,0,https://www.youtube.com/
user_5396,health - diabetes,0,https://www.youtube.com/
user_5228,health - diabetes,0,https://www.youtube.com/
user_3651,health - heart disease,0,https://www.youtube.com/
user_3876,health - heart disease,0,https://www.youtube.com/
user_3731,health - heart disease,0,https://www.youtube.com/
user_3947,health - heart disease,0,https://www.youtube.com/
user_4616,health - hiv,0,https://www.youtube.com/
user_4646,health - hiv,0,https://www.youtube.com/
user_4877,health - hiv,0,https://www.youtube.com/
